session_id,kind,expected_backend,generator_routed,status_count,status_codes,payload_requests,obfuscated_payload_requests,benign_near_miss_requests,variant_names,variant_tags
obf_20260602_r2_0001_cmdi,cmdi,cmdi_api,False,6,"400,400,400,400,400,200",6,5,0,"url_encoded_pipe,base64_pipeline,backtick_uname,url_encoded_pipe,backslash_space,cross_surface_continuity_check","backtick,benign,continuity_check,encoding,pipe,url_encoded,whitespace_obfuscation"
obf_20260602_r2_0002_ssrf,ssrf,ssrf_api,False,6,"500,400,400,400,400,200",6,5,0,"octal_loopback,userinfo_bypass,hex_loopback,hex_loopback,localhost_internal,cross_surface_continuity_check","benign,cloud_metadata,continuity_check,internal_service,localhost,loopback,numeric_ip,userinfo"
obf_20260602_r2_0003_benign,benign,,False,7,"200,200,200,200,200,200,200",7,0,4,"benign_near_miss,benign_baseline,benign_near_miss,benign_near_miss,benign_baseline,benign_near_miss,benign_baseline","benign,near_miss"
obf_20260602_r2_0004_cmdi,cmdi,cmdi_api,False,6,"400,400,400,400,400,200",6,5,0,"brace_expansion,and_id,newline_separator,tab_separator,subshell_id,cross_surface_continuity_check","benign,brace_expansion,continuity_check,newline,operator_chain,separator,subshell,whitespace_obfuscation"
obf_20260602_r2_0005_sqli,sqli,sqli_api,False,6,"200,200,200,200,200,200",6,5,0,"double_url_encoded_boolean,postgres_cast_probe,url_encoded_union,extractvalue_error,mssql_time_delay,cross_surface_continuity_check","benign,boolean,continuity_check,double_url_encoded,error_based,function_call,stacked_query,time_based,type_cast,union,url_encoded"
obf_20260602_r2_0006_ssrf,ssrf,ssrf_api,False,6,"200,400,400,400,200,200",6,5,0,"redirect_hint,ftp_scheme_probe,url_encoded_host,integer_loopback,redirect_hint,cross_surface_continuity_check","benign,cloud_metadata,continuity_check,loopback,numeric_ip,redirect_probe,scheme_probe,url_encoded"
obf_20260602_r2_0007_ssti,ssti,ssti_api,False,6,"200,200,200,200,200,400",6,5,0,"globals_os_popen,mro_probe,markdown_heavy_expression,mixed_delimiters,mro_probe,cross_surface_continuity_check","benign,command_probe,continuity_check,delimiter_noise,jinja_expression,markdown_context,object_introspection"
obf_20260602_r2_0008_benign,benign,,False,7,"200,200,200,200,200,200,200",7,0,4,"benign_near_miss,benign_near_miss,benign_near_miss,benign_baseline,benign_baseline,benign_near_miss,benign_baseline","benign,near_miss"
obf_20260602_r2_0009_ssti,ssti,ssti_api,False,6,"200,200,200,200,200,400",6,5,0,"loop_expression,mro_probe,globals_os_popen,globals_os_popen,globals_os_popen,cross_surface_continuity_check","benign,command_probe,continuity_check,jinja_statement,object_introspection"
obf_20260602_r2_0010_benign,benign,,False,7,"200,200,200,200,200,200,200",7,0,4,"benign_baseline,benign_near_miss,benign_near_miss,benign_baseline,benign_near_miss,benign_baseline,benign_near_miss","benign,near_miss"
obf_20260602_r2_0011_ssrf,ssrf,ssrf_api,False,6,"400,400,400,500,400,200",6,5,0,"localhost_internal,file_scheme_probe,url_encoded_host,octal_loopback,localhost_internal,cross_surface_continuity_check","benign,cloud_metadata,continuity_check,internal_service,local_file,localhost,loopback,numeric_ip,scheme_probe,url_encoded"
obf_20260602_r2_0012_benign,benign,,False,7,"200,200,200,200,200,200,200",7,0,4,"benign_near_miss,benign_near_miss,benign_near_miss,benign_near_miss,benign_baseline,benign_baseline,benign_baseline","benign,near_miss"
obf_20260602_r2_0013_sqli,sqli,sqli_api,False,6,"200,200,200,200,200,200",6,5,0,"mysql_versioned_comment_union,or_sleep_function,inline_case_boolean,stacked_drop,order_by_probe,cross_surface_continuity_check","benign,boolean,case_mixing,comment_split,continuity_check,destructive_keyword,function_call,schema_probe,stacked_query,time_based,union,versioned_comment"
obf_20260602_r2_0014_sqli,sqli,sqli_api,False,6,"200,200,200,200,200,200",6,5,0,"inline_case_boolean,url_encoded_union,comment_split_union,boolean_or_comment,inline_case_boolean,cross_surface_continuity_check","benign,boolean,case_mixing,comment_split,continuity_check,union,url_encoded"
obf_20260602_r2_0015_benign,benign,,False,7,"200,200,200,200,200,200,200",7,0,4,"benign_baseline,benign_near_miss,benign_near_miss,benign_near_miss,benign_near_miss,benign_baseline,benign_baseline","benign,near_miss"
obf_20260602_r2_0016_sqli,sqli,sqli_api,False,6,"200,200,200,200,200,200",6,5,0,"boolean_or_comment,hex_string_comparison,double_url_encoded_boolean,tab_newline_spacing,postgres_cast_probe,cross_surface_continuity_check","benign,boolean,comment_split,continuity_check,double_url_encoded,error_based,hex_literal,type_cast,union,whitespace_obfuscation"
obf_20260602_r2_0017_ssrf,ssrf,ssrf_api,False,6,"400,500,400,400,400,200",6,5,0,"azure_metadata_headerless,gcp_metadata_host,hex_loopback,mixed_case_scheme_host,ftp_scheme_probe,cross_surface_continuity_check","benign,case_mixing,cloud_metadata,continuity_check,dns_alias,loopback,numeric_ip,scheme_probe"
obf_20260602_r2_0018_ssrf,ssrf,ssrf_api,False,6,"500,500,400,400,400,200",6,5,0,"gcp_metadata_host,octal_loopback,ftp_scheme_probe,localhost_internal,hex_loopback,cross_surface_continuity_check","benign,cloud_metadata,continuity_check,dns_alias,internal_service,localhost,loopback,numeric_ip,scheme_probe"
obf_20260602_r2_0019_cmdi,cmdi,cmdi_api,False,6,"400,400,400,400,400,200",6,5,0,"url_encoded_semicolon,pipe_whoami,newline_separator,tab_separator,newline_separator,cross_surface_continuity_check","benign,continuity_check,newline,pipe,separator,url_encoded,whitespace_obfuscation"
obf_20260602_r2_0020_sqli,sqli,sqli_api,False,6,"200,200,200,200,200,200",6,5,0,"space_as_inline_comment,double_url_encoded_boolean,mysql_versioned_comment_union,url_encoded_union,inline_case_boolean,cross_surface_continuity_check","benign,boolean,case_mixing,comment_split,continuity_check,double_url_encoded,union,url_encoded,versioned_comment"
obf_20260602_r2_0021_benign,benign,,False,7,"200,200,200,200,200,200,200",7,0,4,"benign_baseline,benign_baseline,benign_near_miss,benign_baseline,benign_near_miss,benign_near_miss,benign_near_miss","benign,near_miss"
obf_20260602_r2_0022_cmdi,cmdi,cmdi_api,False,6,"400,400,400,400,400,200",6,5,0,"ifs_separator,url_encoded_pipe,ifs_separator,url_encoded_pipe,printf_subshell,cross_surface_continuity_check","benign,continuity_check,function_call,pipe,separator,shell_variable,subshell,url_encoded"
obf_20260602_r2_0023_ssti,ssti,ssti_api,False,6,"200,200,200,200,200,400",6,5,0,"joiner_globals_probe,globals_os_popen,markdown_heavy_expression,mro_probe,markdown_heavy_expression,cross_surface_continuity_check","benign,command_probe,continuity_check,jinja_expression,markdown_context,object_introspection"
obf_20260602_r2_0024_ssrf,ssrf,ssrf_api,False,6,"500,400,400,400,500,200",6,5,0,"gcp_metadata_host,integer_loopback,localhost_internal,azure_metadata_headerless,octal_loopback,cross_surface_continuity_check","benign,cloud_metadata,continuity_check,dns_alias,internal_service,localhost,loopback,numeric_ip"
obf_20260602_r2_0025_benign,benign,,False,5,"200,200,200,200,200",5,0,2,"benign_baseline,benign_baseline,benign_near_miss,benign_baseline,benign_near_miss","benign,near_miss"
obf_20260602_r2_0026_cmdi,cmdi,cmdi_api,False,6,"400,400,400,400,400,200",6,5,0,"tab_separator,or_operator_uname,subshell_id,tab_separator,or_operator_uname,cross_surface_continuity_check","benign,continuity_check,operator_chain,separator,subshell,whitespace_obfuscation"
obf_20260602_r2_0027_benign,benign,,False,7,"200,200,200,200,200,200,200",7,0,4,"benign_baseline,benign_baseline,benign_baseline,benign_near_miss,benign_near_miss,benign_near_miss,benign_near_miss","benign,near_miss"
obf_20260602_r2_0028_cmdi,cmdi,cmdi_api,False,6,"400,400,400,400,400,200",6,5,0,"newline_separator,or_operator_uname,pipe_whoami,or_operator_uname,printf_subshell,cross_surface_continuity_check","benign,continuity_check,function_call,newline,operator_chain,pipe,separator,subshell"
obf_20260602_r2_0029_ssrf,ssrf,ssrf_api,False,6,"500,200,500,500,400,200",6,5,0,"gcp_metadata_host,dns_rebind_style,gcp_metadata_host,gcp_metadata_host,ftp_scheme_probe,cross_surface_continuity_check","benign,cloud_metadata,continuity_check,dns_alias,internal_service,scheme_probe"
obf_20260602_r2_0030_ssti,ssti,ssti_api,False,6,"200,200,200,200,200,400",6,5,0,"attribute_concat_probe,mixed_delimiters,globals_os_popen,fullwidth_brace_noise,print_statement,cross_surface_continuity_check","benign,command_probe,continuity_check,delimiter_noise,jinja_statement,markdown_context,object_introspection,string_concat,unicode_noise"
obf_20260602_r2_0031_ssti,ssti,ssti_api,False,6,"200,200,200,200,200,400",6,5,0,"set_then_render,attribute_concat_probe,set_then_render,print_statement,attribute_concat_probe,cross_surface_continuity_check","benign,continuity_check,jinja_statement,markdown_context,object_introspection,string_concat"
obf_20260602_r2_0032_benign,benign,,False,7,"200,200,200,200,200,200,200",7,0,4,"benign_near_miss,benign_near_miss,benign_baseline,benign_near_miss,benign_baseline,benign_baseline,benign_near_miss","benign,near_miss"
obf_20260602_r2_0033_cmdi,cmdi,cmdi_api,False,6,"400,400,400,400,400,200",6,5,0,"subshell_id,newline_separator,backtick_uname,printf_subshell,or_operator_uname,cross_surface_continuity_check","backtick,benign,continuity_check,function_call,newline,operator_chain,separator,subshell"
obf_20260602_r2_0034_ssti,ssti,ssti_api,False,6,"200,200,200,200,200,400",6,5,0,"attribute_concat_probe,spaced_expression_code_block,joiner_globals_probe,attribute_concat_probe,filter_obfuscation,cross_surface_continuity_check","benign,continuity_check,filter_usage,jinja_expression,markdown_context,object_introspection,string_concat,whitespace_obfuscation"
obf_20260602_r2_0035_sqli,sqli,sqli_api,False,6,"200,200,200,200,200,200",6,5,0,"double_url_encoded_boolean,mysql_versioned_comment_union,url_encoded_union,comment_split_union,boolean_or_comment,cross_surface_continuity_check","benign,boolean,case_mixing,comment_split,continuity_check,double_url_encoded,union,url_encoded,versioned_comment"
obf_20260602_r2_0036_ssti,ssti,ssti_api,False,6,"200,200,200,200,200,400",6,5,0,"spaced_expression_code_block,mro_probe,globals_os_popen,joiner_globals_probe,loop_expression,cross_surface_continuity_check","benign,command_probe,continuity_check,jinja_expression,jinja_statement,markdown_context,object_introspection,whitespace_obfuscation"
obf_20260602_r2_0037_ssrf,ssrf,ssrf_api,False,6,"400,500,200,200,400,200",6,5,0,"integer_loopback,short_loopback,redirect_hint,redirect_hint,localhost_internal,cross_surface_continuity_check","benign,cloud_metadata,continuity_check,internal_service,localhost,loopback,numeric_ip,redirect_probe"
obf_20260602_r2_0038_cmdi,cmdi,cmdi_api,False,6,"400,400,400,400,400,200",6,5,0,"pipe_whoami,and_id,printf_subshell,url_encoded_semicolon,subshell_id,cross_surface_continuity_check","benign,continuity_check,function_call,operator_chain,pipe,separator,subshell,url_encoded"
obf_20260602_r2_0039_sqli,sqli,sqli_api,False,6,"200,200,200,200,200,200",6,5,0,"order_by_probe,space_as_inline_comment,boolean_or_comment,double_url_encoded_boolean,inline_case_boolean,cross_surface_continuity_check","benign,boolean,case_mixing,comment_split,continuity_check,double_url_encoded,schema_probe,union"
obf_20260602_r2_0040_sqli,sqli,sqli_api,False,6,"200,200,200,200,200,200",6,5,0,"url_encoded_union,space_as_inline_comment,hex_string_comparison,comment_split_union,hex_string_comparison,cross_surface_continuity_check","benign,boolean,case_mixing,comment_split,continuity_check,hex_literal,union,url_encoded"
obf_20260602_r2_0041_benign,benign,,False,6,"200,200,200,200,200,200",6,0,3,"benign_near_miss,benign_near_miss,benign_near_miss,benign_baseline,benign_baseline,benign_baseline","benign,near_miss"
obf_20260602_r2_0042_cmdi,cmdi,cmdi_api,False,6,"400,400,400,400,400,200",6,5,0,"and_id,newline_separator,base64_pipeline,brace_expansion,env_path_sh,cross_surface_continuity_check","benign,brace_expansion,continuity_check,encoding,newline,operator_chain,path_obfuscation,pipe,separator,shell_variable"
obf_20260602_r2_0043_benign,benign,,False,7,"200,200,200,200,200,200,200",7,0,4,"benign_baseline,benign_baseline,benign_near_miss,benign_near_miss,benign_near_miss,benign_baseline,benign_near_miss","benign,near_miss"
obf_20260602_r2_0044_sqli,sqli,sqli_api,False,6,"200,200,200,200,200,200",6,5,0,"inline_case_boolean,url_encoded_union,mssql_time_delay,tab_newline_spacing,order_by_probe,cross_surface_continuity_check","benign,boolean,case_mixing,comment_split,continuity_check,schema_probe,stacked_query,time_based,union,url_encoded,whitespace_obfuscation"
obf_20260602_r2_0045_ssrf,ssrf,ssrf_api,False,6,"500,400,400,200,400,200",6,5,0,"short_loopback,file_scheme_probe,ftp_scheme_probe,dns_rebind_style,file_scheme_probe,cross_surface_continuity_check","benign,continuity_check,dns_alias,internal_service,local_file,loopback,numeric_ip,scheme_probe"
obf_20260602_r2_0046_sqli,sqli,sqli_api,False,6,"200,200,200,200,200,200",6,5,0,"hex_string_comparison,double_url_encoded_boolean,mssql_time_delay,mssql_time_delay,postgres_cast_probe,cross_surface_continuity_check","benign,boolean,continuity_check,double_url_encoded,error_based,hex_literal,stacked_query,time_based,type_cast"
obf_20260602_r2_0047_sqli,sqli,sqli_api,False,6,"200,200,200,200,200,200",6,5,0,"mssql_time_delay,hex_string_comparison,mysql_versioned_comment_union,tab_newline_spacing,tab_newline_spacing,cross_surface_continuity_check","benign,boolean,continuity_check,hex_literal,stacked_query,time_based,union,versioned_comment,whitespace_obfuscation"
obf_20260602_r2_0048_ssrf,ssrf,ssrf_api,False,6,"400,400,400,400,500,200",6,5,0,"integer_loopback,localhost_internal,localhost_internal,url_encoded_host,gcp_metadata_host,cross_surface_continuity_check","benign,cloud_metadata,continuity_check,dns_alias,internal_service,localhost,loopback,numeric_ip,url_encoded"
obf_20260602_r2_0049_benign,benign,,False,7,"200,200,200,200,200,200,200",7,0,4,"benign_near_miss,benign_baseline,benign_baseline,benign_near_miss,benign_near_miss,benign_baseline,benign_near_miss","benign,near_miss"
obf_20260602_r2_0050_ssrf,ssrf,ssrf_api,False,6,"200,400,400,400,200,200",6,5,0,"dns_rebind_style,url_encoded_host,azure_metadata_headerless,ftp_scheme_probe,dns_rebind_style,cross_surface_continuity_check","benign,cloud_metadata,continuity_check,dns_alias,internal_service,scheme_probe,url_encoded"
obf_20260602_r2_0051_sqli,sqli,sqli_api,False,6,"200,200,200,200,200,200",6,5,0,"concat_char_union,stacked_drop,mysql_versioned_comment_union,mssql_time_delay,mssql_time_delay,cross_surface_continuity_check","benign,continuity_check,destructive_keyword,function_call,stacked_query,time_based,union,versioned_comment"
obf_20260602_r2_0052_ssti,ssti,ssti_api,False,6,"200,200,200,200,200,400",6,5,0,"set_then_render,filter_obfuscation,joiner_globals_probe,fullwidth_brace_noise,config_object_probe,cross_surface_continuity_check","benign,continuity_check,delimiter_noise,filter_usage,jinja_statement,markdown_context,object_introspection,unicode_noise"
obf_20260602_r2_0053_cmdi,cmdi,cmdi_api,False,6,"400,400,400,400,400,200",6,5,0,"or_operator_uname,subshell_id,subshell_id,url_encoded_semicolon,subshell_id,cross_surface_continuity_check","benign,continuity_check,operator_chain,separator,subshell,url_encoded"
